"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"20",19,"Changpeng Zhao ",44,"Canada","cryptocurrency exchange","Finance & Investments ","$65 B","$1.9 B",NA,NA,"$1.4 B",NA,NA,NA
"21",21,"Charles Koch ",86,"United States","Koch Industries","Diversified ","$60 B","$46.4 B","$38.2 B","$43.5 B","$60 B","$48.30 B","$39.60 B","$42.90 B"
"22",21,"Julia Koch & family ",59,"United States","Koch Industries","Diversified ","$60 B","$46.4 B","$38.2 B",NA,NA,NA,NA,NA
"23",23,"Amancio Ortega ",86,"Spain","Zara","Fashion & Retail ","$59.6 B","$77 B","$55.1 B","$67.2 B","$70 B","$71.30 B","$67.00 B","$64.50 B"
"24",24,"Michael Dell ",57,"United States","Dell computers","Technology ","$55.1 B","$45.1 B","$22.9 B","$30.2 B","$22.7 B","$20.40 B","$19.80 B","$19.20 B"
"25",25,"Zhang Yiming ",38,"China","TikTok","Media & Entertainment ","$50 B","$35.6 B","$16.2 B",NA,"$4 B",NA,NA,NA
"26",26,"David Thomson & family ",64,"Canada","media","Media & Entertainment ","$49.2 B","$41.8 B","$31.6 B",NA,NA,NA,NA,NA
"27",27,"Phil Knight & family ",84,"United States","Nike","Fashion & Retail ","$47.3 B","$49.9 B","$29.5 B",NA,NA,NA,NA,NA
"28",28,"Dieter Schwarz ",82,"Germany","retail","Fashion & Retail ","$47.1 B","$36.9 B","$19.8 B","$25 B","$20.9 B","$17.00 B","$16.40 B","$19.40 B"
"29",29,"Robin Zeng ",53,"Hong Kong","batteries","Automotive ","$44.8 B","$28.4 B","$9.7 B",NA,"$1.9 B",NA,NA,NA
"30",30,"MacKenzie Scott ",51,"United States","Amazon","Technology ","$43.6 B","$53 B","$36 B",NA,NA,NA,NA,NA
"31",31,"Rodolphe Saadé & family ",52,"France","shipping","Logistics ","$41.4 B","$10.9 B",NA,NA,NA,NA,NA,NA
"32",32,"François Pinault & family ",85,"France","luxury goods","Fashion & Retail ","$40.4 B","$42.3 B",NA,NA,NA,NA,NA,NA
"33",33,"Klaus-Michael Kuehne ",84,"Germany","shipping","Logistics ","$37.3 B","$26.3 B","$14.2 B","$12.2 B","$15.3 B","$12.40 B","$10.00 B","$11.90 B"
"34",34,"Ma Huateng ",50,"China","internet media","Technology ","$37.2 B","$65.8 B","$38.1 B",NA,"$45.3 B","$24.90 B","$16.60 B","$16.10 B"
"35",35,"Beate Heister & Karl Albrecht Jr. & family ",64,"Germany","supermarkets","Fashion & Retail ","$36.8 B",NA,NA,NA,NA,NA,NA,NA
"36",36,"Giovanni Ferrero ",57,"Italy","Nutella, chocolates","Food & Beverage ","$36.2 B","$35.1 B","$24.5 B","$22.7 B","$23 B",NA,NA,NA
"37",37,"Li Ka-shing ",93,"Hong Kong","diversified","Diversified ","$34.8 B","$33.7 B","$21.7 B","$30.6 B","$34.9 B","$31.20 B","$27.10 B","$33.30 B"
"38",37,"Stephen Schwarzman ",75,"United States","investments","Finance & Investments ","$34.8 B","$21.9 B","$15.4 B",NA,"$12.6 B","$11.80 B","$9.50 B","$12.00 B"
"39",39,"Lee Shau Kee ",94,"Hong Kong","real estate","Real Estate ","$32.6 B","$31.7 B","$28.1 B","$23.9 B","$30.3 B","$24.40 B","$21.50 B","$24.80 B"
"40",40,"Len Blavatnik ",64,"United States","music, chemicals","Diversified ","$32.5 B","$32 B","$17 B","$19 B","$20.2 B","$20.00 B","$15.30 B","$20.20 B"
"41",41,"Jacqueline Mars ",82,"United States","candy, pet food","Food & Beverage ","$31.7 B","$31.3 B","$24.7 B","$35.9 B","$23.6 B","$27.00 B","$23.40 B","$26.60 B"
"42",41,"John Mars ",86,"United States","candy, pet food","Food & Beverage ","$31.7 B","$31.3 B","$24.7 B","$35.9 B","$23.6 B","$27.00 B","$23.40 B","$26.60 B"
"43",43,"Alain Wertheimer ",73,"France","Chanel","Fashion & Retail ","$31.2 B","$34.5 B","$17.1 B","$21 B","$13 B","$11.80 B","$11.00 B","$9.50 B"
"44",43,"Gerard Wertheimer ",71,"France","Chanel","Fashion & Retail ","$31.2 B","$34.5 B","$17.1 B","$21 B","$13 B","$11.80 B","$11.00 B","$9.50 B"
"45",45,"German Larrea Mota Velasco & family ",68,"Mexico","mining","Metals & Mining ","$30.8 B","$25.9 B","$11 B",NA,NA,NA,NA,NA
"46",46,"Gina Rinehart ",68,"Australia","mining","Metals & Mining ","$30.2 B","$23.6 B","$13.1 B","$15.3 B","$17.4 B","$15.00 B","$8.80 B","$12.30 B"
"47",47,"Shiv Nadar ",76,"India","software services","Technology ","$28.7 B","$23.5 B","$11.9 B","$14.3 B","$14.6 B","$12.30 B","$11.10 B","$14.80 B"
"48",48,"Jim Simons ",83,"United States","hedge funds","Finance & Investments ","$28.6 B","$24.6 B","$21.6 B","$16.6 B",NA,NA,NA,NA
"49",49,"He Xiangjian ",79,"China","home appliances","Manufacturing ","$28.3 B","$37.7 B","$21.6 B","$16.1 B","$20.1 B","$12.30 B","$9.00 B","$9.90 B"
"50",50,"Miriam Adelson ",76,"United States","casinos","Gambling & Casinos ","$27.5 B","$38.2 B",NA,NA,NA,NA,NA,NA
"51",51,"Dietrich Mateschitz ",77,"Austria","Red Bull","Food & Beverage ","$27.4 B","$26.9 B","$16.5 B","$14.8 B","$23 B","$13.40 B","$13.20 B","$10.80 B"
"52",52,"Leonardo Del Vecchio & family ",86,"Italy","eyeglasses","Fashion & Retail ","$27.3 B","$25.8 B","$16.1 B",NA,NA,NA,NA,NA
"53",53,"Ken Griffin ",53,"United States","hedge funds","Finance & Investments ","$27.2 B","$16 B","$12.1 B","$9.81 B","$9 B","$8.00 B","$7.50 B","$6.50 B"
"54",54,"Tadashi Yanai & family ",73,"Japan","fashion retail","Fashion & Retail ","$26.1 B","$44.1 B","$19.7 B",NA,NA,NA,NA,NA
"55",55,"William Lei Ding ",50,"China","online games","Technology ","$25.2 B","$33 B","$17 B",NA,NA,NA,NA,NA
"56",56,"Susanne Klatten ",59,"Germany","BMW, pharmaceuticals","Automotive ","$24.3 B","$27.7 B","$16.8 B","$19.9 B","$25 B","$20.40 B","$18.50 B","$16.80 B"
"57",56,"Cyrus Poonawalla ",80,"India","vaccines","Healthcare ","$24.3 B","$12.7 B","$8.2 B","$8.15 B","$9.1 B","$8.10 B","$8.50 B","$6.60 B"
"58",56,"Wang Wei ",51,"China","package delivery","Service ","$24.3 B","$39 B","$15.2 B","$11.8 B","$18.2 B","$15.90 B","$4.20 B","$1.20 B"
"59",59,"Qin Yinglin ",56,"China","pig breeding","Food & Beverage ","$24.1 B",NA,NA,NA,"$3.6 B","$2.00 B","$1.70 B","$1.20 B"
"60",60,"Sam Bankman-Fried ",30,"United States","cryptocurrency exchange","Finance & Investments ","$24 B","$8.7 B",NA,NA,NA,NA,NA,NA
"61",61,"Takemitsu Takizaki ",76,"Japan","sensors","Manufacturing ","$23.9 B","$25.8 B","$17.4 B","$17.7 B","$17.5 B","$12.30 B","$7.20 B","$7.60 B"
"62",62,"Li Shufu ",58,"China","automobiles","Automotive ","$23.7 B","$19.7 B","$12.4 B","$12.3 B","$15.3 B","$6.70 B","$1.70 B","$2.40 B"
"63",63,"Emmanuel Besnier ",51,"France","cheese","Food & Beverage ","$23.5 B","$19.1 B","$12.7 B","$7.18 B","$14.7 B","$11.30 B","$7.60 B","$7.10 B"
"64",64,"R. Budi Hartono ",81,"Indonesia","banking, tobacco","Finance & Investments ","$23.2 B","$20.5 B","$13.6 B",NA,"$17.4 B","$9.00 B","$8.10 B","$9.00 B"
"65",65,"Leonard Lauder ",89,"United States","Estee Lauder","Fashion & Retail ","$23.1 B","$25.5 B","$14.6 B","$17.6 B","$12.9 B","$8.90 B","$9.00 B","$9.10 B"
"66",66,"Guillaume Pousaz ",40,"Switzerland","fintech","Finance & Investments ","$23 B","$9 B",NA,NA,NA,NA,NA,NA
"67",67,"Iris Fontbona & family ",79,"Chile","mining","Metals & Mining ","$22.8 B","$23.3 B","$10.8 B",NA,NA,NA,NA,NA
"68",67,"Jack Ma ",57,"China","e-commerce","Technology ","$22.8 B","$48.4 B","$38.8 B","$41.8 B","$39 B","$28.30 B","$20.50 B","$22.70 B"
"69",69,"Michael Hartono ",82,"Indonesia","banking, tobacco","Manufacturing ","$22.3 B","$19.7 B","$13 B","$14.1 B","$16.7 B","$8.90 B","$7.90 B","$8.70 B"
"70",70,"Eric Schmidt ",66,"United States","Google","Technology ","$22.1 B","$18.9 B","$13.2 B","$13.5 B","$13.4 B","$11.10 B","$10.20 B","$9.10 B"
"71",71,"Ray Dalio ",72,"United States","hedge funds","Finance & Investments ","$22 B","$20.3 B","$18 B","$16.9 B","$17.7 B","$16.80 B","$15.60 B","$15.40 B"
"72",71,"Daniel Gilbert ",60,"United States","Quicken Loans","Finance & Investments ","$22 B","$51.9 B","$6.5 B",NA,"$6.3 B","$5.80 B","$4.90 B","$4.70 B"
"73",73,"Thomas Frist, Jr. & family ",83,"United States","hospitals","Healthcare ","$21.8 B","$15.7 B","$7.5 B",NA,NA,NA,NA,NA
"74",74,"Masayoshi Son ",64,"Japan","internet, telecom","Telecom ","$21.3 B","$45.4 B","$16.6 B","$17.3 B","$22.7 B","$21.20 B","$11.70 B","$14.10 B"
"75",75,"Abigail Johnson ",60,"United States","money management","Finance & Investments ","$21.2 B","$20.9 B","$10.8 B",NA,"$15.9 B","$14.40 B","$13.10 B","$13.40 B"
"76",76,"Rupert Murdoch & family ",91,"United States","newspapers, TV network","Media & Entertainment ","$20.8 B","$23.5 B","$14.9 B",NA,NA,NA,NA,NA
"77",77,"Stefan Quandt ",55,"Germany","BMW","Automotive ","$20.7 B","$21.6 B","$12.3 B","$16.6 B","$22 B","$18.30 B","$15.60 B","$15.60 B"
"78",78,"Jensen Huang ",59,"United States","semiconductors","Technology ","$20.6 B","$11.8 B","$4.7 B",NA,NA,NA,NA,NA
"79",79,"Huang Shilin ",55,"China","batteries","Automotive ","$20.3 B","$12.9 B","$4.5 B",NA,"$1.1 B",NA,NA,NA
"80",80,"Thomas Peterffy ",77,"United States","discount brokerage","Finance & Investments ","$20.1 B","$25 B","$14.3 B","$17.2 B","$20.3 B","$13.80 B","$11.10 B","$10.90 B"
"81",81,"Radhakishan Damani ",67,"India","retail, investments","Fashion & Retail ","$20 B","$16.5 B",NA,"$7.99 B","$10 B","$2.30 B",NA,NA
"82",82,"Pang Kang ",66,"China","soy sauce","Food & Beverage ","$19.6 B","$26.4 B","$11.5 B","$9.13 B","$6.4 B","$3.50 B","$3.40 B","$3.30 B"
"83",83,"Wang Chuanfu ",56,"China","batteries, automobiles","Automotive ","$19.5 B","$16.3 B","$4.4 B",NA,"$5.2 B","$4.20 B","$4.40 B","$3.90 B"
"84",84,"Reinhold Wuerth & family ",86,"Germany","fasteners","Manufacturing ","$19 B","$16.8 B","$11.6 B",NA,NA,NA,NA,NA
"85",85,"Theo Albrecht, Jr. & family ",71,"Germany","Aldi, Trader Joe's","Fashion & Retail ","$18.7 B","$18.8 B","$17 B",NA,NA,NA,NA,NA
"86",85,"Yang Huiyan & family ",40,"China","real estate","Real Estate ","$18.7 B","$29.6 B","$20.3 B",NA,NA,NA,NA,NA
"87",87,"Vladimir Lisin ",65,"Russia","steel, transport","Metals & Mining ","$18.4 B","$26.2 B","$18.1 B","$19.7 B","$19.1 B","$16.10 B","$9.30 B","$11.60 B"
"88",88,"Fan Hongwei & family ",55,"China","petrochemicals","Energy ","$18.2 B","$18.2 B","$6 B",NA,NA,NA,NA,NA
"89",89,"Lakshmi Mittal ",71,"India","steel","Metals & Mining ","$17.9 B","$14.9 B","$7.4 B","$14.3 B","$18.5 B","$16.40 B","$8.40 B","$13.50 B"
"90",90,"Andrew Forrest ",60,"Australia","mining","Metals & Mining ","$17.8 B","$20.4 B","$6.7 B","$5.09 B","$4.4 B","$5.70 B","$1.30 B","$2.20 B"
"91",91,"Jiang Rensheng & family ",68,"China","vaccines","Healthcare ","$17.7 B","$24.4 B","$7.6 B",NA,NA,NA,NA,NA
"92",91,"Savitri Jindal & family ",72,"India","steel","Metals & Mining ","$17.7 B","$9.7 B","$4.8 B",NA,NA,NA,NA,NA
"93",91,"Wang Wenyin ",54,"China","mining, copper products","Metals & Mining ","$17.7 B","$13.2 B","$7.9 B","$3.92 B","$11.7 B","$14.00 B","$7.20 B","$9.90 B"
"94",94,"Li Xiting ",71,"Singapore","medical devices","Healthcare ","$17.6 B","$21.5 B","$11.6 B",NA,"$2.1 B",NA,NA,NA
"95",94,"Stefan Persson ",74,"Sweden","H&M","Fashion & Retail ","$17.6 B","$21.3 B","$13.5 B","$14.6 B","$16.8 B","$19.60 B","$20.80 B","$24.50 B"
"96",96,"Steve Cohen ",65,"United States","hedge funds","Finance & Investments ","$17.4 B","$16 B","$13.9 B","$10.2 B","$14 B","$13.00 B","$12.70 B","$11.40 B"
"97",97,"Vladimir Potanin ",61,"Russia","metals","Metals & Mining ","$17.3 B","$27 B","$19.7 B","$21.5 B","$15.9 B","$14.30 B","$12.10 B","$15.40 B"
"98",98,"Harold Hamm & family ",76,"United States","oil & gas","Energy ","$17.2 B","$9.4 B","$2.4 B",NA,NA,NA,NA,NA
"99",99,"Sun Piaoyang ",63,"China","pharmaceuticals","Healthcare ","$17.1 B","$18.9 B","$11.8 B","$8.32 B","$7.7 B","$4.30 B","$3.40 B","$2.10 B"
"100",100,"Luo Liguo & family ",66,"China","chemicals","Manufacturing ","$17 B","$4.2 B","$2.1 B",NA,NA,NA,NA,NA
"101",100,"Peter Woo ",75,"Hong Kong","real estate","Real Estate ","$17 B","$18 B","$11.5 B","$12 B","$12.2 B","$10.50 B","$6.60 B","$8.60 B"
"102",102,"Gianluigi & Rafaela Aponte ",81,"Switzerland","Shipping","Logistics ","$16.8 B","$10.7 B","$6.5 B",NA,"$9.3 B","$7.50 B","$8.40 B","$7.90 B"
"103",103,"David Tepper ",64,"United States","hedge funds","Finance & Investments ","$16.7 B","$14.5 B","$12 B","$11.2 B","$11 B","$11.00 B","$11.40 B","$10.40 B"
"104",104,"Renata Kellnerova & family ",54,"Czechia","finance, telecommunications","Finance & Investments ","$16.6 B",NA,NA,NA,NA,NA,NA,NA
"105",104,"John Menard, Jr. ",82,"United States","home improvement stores","Fashion & Retail ","$16.6 B","$14.2 B","$11.5 B",NA,"$11.5 B","$10.20 B","$9.30 B","$9.00 B"
"106",106,"Kumar Birla ",54,"India","commodities","Diversified ","$16.5 B","$12.8 B","$7.6 B","$6.14 B","$11.8 B","$9.50 B","$6.10 B","$9.00 B"
"107",106,"Carl Icahn ",86,"United States","investments","Finance & Investments ","$16.5 B","$15.8 B","$13.8 B","$20.3 B","$16.8 B","$16.60 B","$17.00 B","$23.50 B"
"108",106,"Hank & Doug Meijer ",64,"United States","supermarkets","Fashion & Retail ","$16.5 B","$12.6 B","$10.2 B",NA,"$6.8 B","$7.20 B","$8.20 B","$10.70 B"
"109",106,"Lukas Walton ",35,"United States","Walmart","Fashion & Retail ","$16.5 B","$15.6 B","$18.4 B","$16 B","$15.9 B","$11.30 B","$10.40 B",NA
"110",110,"Laurene Powell Jobs & family ",58,"United States","Apple, Disney","Technology ","$16.4 B","$19 B","$16.4 B",NA,NA,NA,NA,NA
"111",111,"James Ratcliffe ",69,"United Kingdom","chemicals","Manufacturing ","$16.3 B","$17 B","$11 B",NA,"$16.4 B","$9.00 B","$5.50 B","$1.80 B"
"112",112,"Donald Bren ",89,"United States","real estate","Real Estate ","$16.2 B","$15.3 B","$15.5 B","$17.2 B","$16.3 B","$15.20 B","$15.10 B","$15.20 B"
"113",113,"Xu Hang ",55,"Hong Kong","medical devices","Healthcare ","$16.1 B","$19.5 B","$11.2 B",NA,"$1.8 B",NA,NA,NA
"114",114,"Lu Xiangyang ",59,"China","automobiles, batteries","Automotive ","$15.7 B","$9.1 B","$3.1 B",NA,"$3 B","$2.70 B","$2.90 B","$2.50 B"
"115",115,"Dilip Shanghvi ",66,"India","pharmaceuticals","Healthcare ","$15.6 B","$10.9 B","$6.1 B","$8.54 B","$12.8 B","$13.70 B","$16.70 B","$20.00 B"
"116",116,"Wei Jianjun & family ",58,"China","automobiles","Automotive ","$15.5 B","$15.5 B","$4.2 B",NA,NA,NA,NA,NA
"117",117,"Jorge Paulo Lemann & family ",82,"Brazil","beer","Food & Beverage ","$15.4 B","$16.9 B","$10.4 B",NA,NA,NA,NA,NA
"118",117,"Eyal Ofer ",71,"Israel","real estate, shipping","Diversified ","$15.4 B","$11.1 B","$7.5 B","$10.5 B","$9.4 B","$8.90 B","$8.40 B","$8.50 B"
"119",119,"Mike Cannon-Brookes ",42,"Australia","software","Technology ","$15.3 B","$14.2 B","$8 B","$6.82 B","$3.4 B","$2.10 B","$1.40 B","$1.10 B"
"120",119,"Wu Yajun ",58,"China","real estate","Real Estate ","$15.3 B","$18.3 B",NA,"$8.69 B","$7.7 B","$4.50 B","$3.20 B","$3.40 B"
"121",121,"Charlene de Carvalho-Heineken & family ",67,"Netherlands","Heineken","Food & Beverage ","$15.2 B","$16.7 B","$12.8 B",NA,NA,NA,NA,NA
"122",121,"Michael Platt ",54,"United Kingdom","hedge funds","Finance & Investments ","$15.2 B","$13 B","$8 B",NA,"$6.9 B","$4.50 B","$3.00 B","$3.50 B"
"123",123,"Pavel Durov ",37,"Russia","messaging app","Technology ","$15.1 B","$17.2 B","$3.4 B",NA,"$1.7 B",NA,NA,NA
"124",123,"Scott Farquhar ",42,"Australia","software","Technology ","$15.1 B","$14 B","$8 B","$6.82 B","$3.4 B","$2.10 B","$1.40 B","$1.10 B"
"125",125,"Pallonji Mistry ",92,"Ireland","construction","Construction & Engineering ","$15 B","$14.6 B","$11.1 B","$21.2 B","$17.8 B","$14.30 B","$12.50 B","$16.30 B"
"126",126,"Dang Yanbao ",49,"China","coal","Metals & Mining ","$14.8 B","$12.7 B","$6.6 B",NA,"$1.1 B",NA,NA,NA
"127",127,"Robert Pera ",44,"United States","wireless networking gear","Technology ","$14.6 B","$18.3 B","$7 B","$8.23 B","$4.3 B","$3.00 B","$2.00 B","$1.80 B"
"128",128,"Donald Newhouse ",92,"United States","media","Media & Entertainment ","$14.4 B","$17.6 B","$10.8 B","$12.5 B","$12.3 B","$12.10 B","$9.30 B","$8.30 B"
"129",129,"Uday Kotak ",63,"India","banking","Finance & Investments ","$14.3 B","$15.9 B","$10.4 B","$11.3 B","$10.7 B","$8.00 B","$6.30 B","$7.20 B"
"130",130,"Aliko Dangote ",64,"Nigeria","cement, sugar","Manufacturing ","$14 B","$11.5 B","$8.3 B","$16.7 B","$14.1 B","$12.20 B","$15.40 B","$14.70 B"
"131",130,"Leonid Mikhelson ",66,"Russia","gas, chemicals","Energy ","$14 B","$24.9 B","$17.1 B","$19.9 B","$18 B","$18.40 B","$14.40 B","$11.70 B"
"132",132,"Sunil Mittal & family ",64,"India","telecom","Telecom ","$13.9 B","$10.5 B","$8.8 B",NA,NA,NA,NA,NA
"133",133,"Robert & Philip Ng ",64,"Singapore","real estate","Real Estate ","$13.7 B","$13.3 B","$10.9 B",NA,"$10.8 B","$8.70 B","$7.60 B","$9.60 B"
"134",134,"Liu Hanyuan ",58,"China","agribusiness","Food & Beverage ","$13.65 B","$10.3 B","$2.4 B",NA,"$1.6 B","$1.00 B",NA,NA
"135",135,"Joseph Lau ",70,"Hong Kong","real estate","Real Estate ","$13.6 B","$13.6 B","$16.4 B","$8.5 B","$16.7 B","$15.00 B","$13.10 B","$10.90 B"
"136",135,"Anders Holch Povlsen ",49,"Denmark","fashion retail","Fashion & Retail ","$13.6 B","$13.2 B","$8 B","$4.73 B","$7.4 B","$6.30 B","$5.20 B","$5.50 B"
"137",137,"Dhanin Chearavanont ",82,"Thailand","diversified","Diversified ","$13.5 B","$18.1 B","$13.5 B","$5.33 B","$14.9 B","$9.70 B","$6.80 B","$13.60 B"
"138",138,"Gong Hongjia & family ",57,"Hong Kong","video surveillance","Finance & Investments ","$13.2 B","$14.4 B","$8 B",NA,NA,NA,NA,NA
"139",138,"Liu Yongxing ",73,"China","diversified","Service ","$13.2 B","$6.5 B","$5.9 B",NA,"$6.7 B","$6.60 B","$5.10 B","$6.60 B"
"140",138,"Alexey Mordashov ",56,"Russia","steel, investments","Metals & Mining ","$13.2 B",NA,NA,"$18.3 B","$18.7 B","$17.50 B","$10.90 B","$13.00 B"
"141",138,"Wang Jianlin ",67,"China","real estate","Real Estate ","$13.2 B","$14.8 B","$14 B","$19.5 B","$30 B","$31.30 B","$28.70 B","$24.20 B"
"142",142,"David Duffield ",81,"United States","business software","Technology ","$12.9 B","$13.5 B","$7.5 B",NA,"$7.8 B","$6.70 B","$4.40 B","$7.40 B"
"143",142,"Li Zhenguo & family ",54,"China","solar wafers and modules","Manufacturing ","$12.9 B","$10.5 B","$2.2 B",NA,NA,NA,NA,NA
"144",144,"Harry Triguboff ",89,"Australia","real estate","Real Estate ","$12.8 B","$11.2 B","$6.3 B","$9.94 B","$9.2 B","$8.50 B","$7.30 B","$5.40 B"
"145",144,"Zhang Zhidong ",50,"China","internet media","Technology ","$12.8 B","$23.4 B","$13 B","$15.2 B","$15.6 B","$8.40 B","$5.90 B","$5.80 B"
"146",146,"Chen Bang ",56,"China","hospitals","Healthcare ","$12.7 B","$17.9 B","$7.6 B",NA,"$3.5 B","$2.10 B","$2.10 B","$1.70 B"
"147",146,"John Doerr ",70,"United States","venture capital","Technology ","$12.7 B","$12.4 B","$7.3 B",NA,"$7.1 B","$5.20 B","$4.10 B","$3.40 B"
"148",146,"Hinduja brothers ",64,"United Kingdom","diversified","Diversified ","$12.7 B","$14.9 B","$12.9 B",NA,NA,NA,NA,"$14.50 B"
"149",149,"Kwong Siu-hing ",92,"Hong Kong","real estate","Real Estate ","$12.6 B","$14.7 B","$11.9 B",NA,NA,NA,NA,NA
"150",150,"Pei Zhenhua ",63,"China","batteries","Energy ","$12.5 B","$7.5 B","$2.4 B",NA,NA,NA,NA,NA
"151",151,"Ricardo Salinas Pliego & family ",66,"Mexico","retail, media","Fashion & Retail ","$12.4 B","$12.9 B","$11.7 B",NA,NA,NA,NA,NA
"152",152,"Jim Pattison ",93,"Canada","diversified","Diversified ","$12.2 B","$9.6 B","$4.3 B","$6.41 B","$6.9 B","$5.60 B","$4.50 B","$7.50 B"
"153",152,"Charles Schwab ",84,"United States","discount brokerage","Finance & Investments ","$12.2 B","$10.6 B","$6.7 B","$8.39 B","$9.4 B","$8.30 B","$5.40 B","$6.40 B"
"154",154,"Goh Cheng Liang ",94,"Singapore","paints","Manufacturing ","$12.1 B","$21.7 B","$10.4 B","$8.25 B","$7 B","$6.50 B","$5.00 B","$6.80 B"
"155",154,"Lin Jianhua & family ",59,"China","solar panel components","Manufacturing ","$12.1 B","$5.9 B","$2.1 B",NA,NA,NA,NA,NA
"156",156,"Charoen Sirivadhanabhakdi ",77,"Thailand","alcohol, real estate","Food & Beverage ","$12 B","$13.5 B","$9.1 B","$13.9 B","$17.9 B","$15.80 B","$10.70 B","$13.20 B"
"157",156,"Jeff Yass ",63,"United States","trading, investments","Finance & Investments ","$12 B","$12 B",NA,NA,NA,NA,NA,NA
"158",158,"John Fredriksen ",77,"Cyprus","shipping","Logistics ","$11.9 B","$10.4 B","$9.6 B","$8.03 B","$7 B","$9.90 B","$8.50 B","$10.50 B"
"159",158,"Andreas Struengmann & family ",72,"Germany","pharmaceuticals","Healthcare ","$11.9 B","$11 B","$9.6 B",NA,NA,NA,NA,NA
"160",158,"Thomas Struengmann & family ",72,"Germany","pharmaceuticals","Healthcare ","$11.9 B","$11 B","$9.6 B",NA,NA,NA,NA,NA
"161",161,"Mikhail Fridman ",57,"Russia","oil, banking, telecom","Energy ","$11.8 B","$15.5 B","$13 B","$13 B","$15.1 B","$14.40 B","$13.30 B","$14.60 B"
"162",161,"Sarath Ratanavadi ",56,"Thailand","energy","Energy ","$11.8 B","$8.9 B","$6.3 B","$4.35 B","$3.6 B",NA,NA,NA
"163",163,"Robert Kuok ",98,"Malaysia","palm oil, shipping, property","Diversified ","$11.7 B","$12.6 B","$9.6 B","$17.9 B","$14.8 B","$11.40 B","$10.00 B","$11.30 B"
"164",163,"Lei Jun ",52,"China","smartphones","Technology ","$11.7 B","$23 B","$9.2 B","$11.3 B","$12.5 B","$6.80 B","$9.80 B","$13.20 B"
"165",163,"Zhang Congyuan ",74,"Taiwan","shoes","Fashion & Retail ","$11.7 B",NA,NA,NA,NA,NA,NA,NA
